"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"gene:Solyc00g244300.1",58.5942313797523,-4.04516017292391,1.41748526836203,-2.85375817527774,0.00432054057155236,0.0236739402649123,"gene:Solyc00g244300.1"
"gene:Solyc00g244290.1",98.3395780191192,-4.0263948416077,1.96556801851704,-2.04846375382394,0.0405145801652546,0.138152662945133,"gene:Solyc00g244290.1"
"gene:Solyc00g244280.1",9.09453659055079,-4.04848365689522,1.639294339928,-2.4696502380854,0.0135245214135307,0.0596741146322395,"gene:Solyc00g244280.1"
"gene:Solyc00g160370.1",368.807402536974,-3.7853182734924,1.94501652376944,-1.94616252727584,0.0516352196356951,0.165151276042713,"gene:Solyc00g160370.1"
"gene:Solyc00g500171.1",33.4507064361751,-4.02858928601702,2.366349400568,-1.70244904875418,0.0886712220503428,0.242684940612164,"gene:Solyc00g500171.1"
"gene:Solyc00g500172.1",31.8244502207936,-3.64934483781086,2.35230624166637,-1.55139019451212,0.120808203643146,0.300980349365087,"gene:Solyc00g500172.1"
"gene:Solyc00g019730.2",33.1652319895198,-2.13184985758601,0.764817251053968,-2.78739771448432,0.00531332248609179,0.0281388628137367,"gene:Solyc00g019730.2"
"gene:Solyc00g500181.1",35.4802381114925,-3.60920736714374,2.76080762476135,-1.30730128922175,0.191110406548702,0.40816993304425,"gene:Solyc00g500181.1"
"gene:Solyc00g023590.2",38.9314870740658,-4.07253328833206,2.48607239125865,-1.63813946152639,0.101392604750699,0.267375000614312,"gene:Solyc00g023590.2"
"gene:Solyc00g014850.1",39.4702178275822,-3.90277523137878,2.4768499376392,-1.57570112426701,0.115094698241798,0.291770814295047,"gene:Solyc00g014850.1"
"gene:Solyc00g160410.1",47.9918906653385,-4.30443182378042,2.34711986538519,-1.83392074996307,0.0666657589410343,0.198317109552029,"gene:Solyc00g160410.1"
"gene:Solyc00g118690.1",32.923854157104,-3.48983152880198,2.2402413595044,-1.55779265211585,0.119282408411298,0.29863023238446,"gene:Solyc00g118690.1"
"gene:Solyc00g160400.1",71.6754525224447,-3.55343511822186,1.91912262309466,-1.85159357482421,0.0640842063804711,0.192854382630175,"gene:Solyc00g160400.1"
